StartTime,EndTime,Type,Duration,PairStatus,trust_binary
12:20:31,12:20:48,1,17.0,Paired,1
12:20:48,12:21:14,1,26.0,Paired,1
12:21:14,12:21:45,1,31.0,Paired,1
12:21:45,12:22:10,1,25.0,Paired,1
12:22:10,12:22:30,1,20.0,Paired,1
12:22:30,12:22:53,1,23.0,Paired,1
12:22:53,12:23:18,1,25.0,Paired,1
12:23:18,12:23:54,1,36.0,Paired,1
12:23:55,12:24:21,1,26.0,Paired,1
12:24:21,12:24:45,1,24.0,Paired,1
12:24:45,12:25:05,1,20.0,Paired,1
12:25:05,12:25:22,1,17.0,Paired,1
12:25:22,12:25:47,1,25.0,Paired,1
12:25:47,12:26:09,1,22.0,Paired,1
12:26:09,12:26:33,1,24.0,Paired,1
12:26:33,12:26:50,1,17.0,Paired,1
12:26:50,12:27:12,1,22.0,Paired,1
12:27:12,12:27:42,1,30.0,Paired,1
12:30:12,12:30:36,2,24.0,Paired,1
12:30:36,12:30:54,2,18.0,Paired,1
12:30:54,12:31:16,2,22.0,Paired,1
12:31:16,12:31:37,2,21.0,Paired,0
12:31:38,12:32:01,2,23.0,Paired,1
12:32:01,12:32:19,2,18.0,Paired,1
12:32:19,12:32:35,2,16.0,Paired,1
12:32:35,12:32:57,2,22.0,Paired,1
12:32:57,12:33:16,2,19.0,Paired,0
12:33:16,12:33:37,2,21.0,Paired,1
12:33:37,12:33:59,2,22.0,Paired,1
12:33:59,12:34:18,2,19.0,Paired,1
12:34:18,12:34:34,2,16.0,Paired,1
12:34:34,12:35:01,2,27.0,Paired,1
12:35:01,12:35:20,2,19.0,Paired,1
12:35:20,12:35:36,2,16.0,Paired,1
12:35:37,12:35:59,2,22.0,Paired,1
12:35:59,12:36:16,2,17.0,Paired,1
12:36:16,12:36:40,2,24.0,Paired,1
12:38:41,12:39:14,3,33.0,Paired,1
12:39:14,12:39:39,3,25.0,Paired,1
12:39:39,12:39:57,3,18.0,Paired,1
12:39:57,12:40:17,3,20.0,Paired,1
12:40:17,12:40:39,3,22.0,Paired,1
12:40:39,12:40:57,3,18.0,Paired,1
12:40:57,12:41:23,3,26.0,Paired,1
12:41:23,12:41:40,3,17.0,Paired,1
12:41:40,12:41:57,3,17.0,Paired,1
12:41:57,12:42:17,3,20.0,Paired,1
12:42:17,12:42:38,3,21.0,Paired,1
12:42:38,12:42:57,3,19.0,Paired,1
12:42:57,12:43:17,3,20.0,Paired,1
12:43:17,12:43:39,3,22.0,Paired,1
12:43:39,12:43:58,3,19.0,Paired,1
12:43:58,12:44:18,3,20.0,Paired,1
12:44:18,12:44:38,3,20.0,Paired,0
12:44:38,12:44:53,3,15.0,Paired,1
12:44:53,12:45:10,3,17.0,Paired,1
12:46:45,12:47:18,4,33.0,Paired,1
12:47:18,12:47:37,4,19.0,Paired,1
12:47:37,12:47:51,4,14.0,Paired,1
12:47:51,12:48:09,4,18.0,Paired,1
12:48:09,12:48:30,4,21.0,Paired,1
12:48:30,12:48:48,4,18.0,Paired,1
12:48:48,12:49:09,4,21.0,Paired,1
12:49:09,12:49:26,4,17.0,Paired,0
12:49:26,12:49:44,4,18.0,Paired,1
12:49:44,12:50:04,4,20.0,Paired,1
12:50:04,12:50:22,4,18.0,Paired,1
12:50:22,12:50:37,4,15.0,Paired,1
12:50:37,12:50:53,4,16.0,Paired,1
12:50:53,12:51:11,4,18.0,Paired,1
12:51:11,12:51:28,4,17.0,Paired,1
12:51:29,12:51:45,4,16.0,Paired,1
12:51:45,12:52:02,4,17.0,Paired,0
12:52:02,12:52:19,4,17.0,Paired,1
12:53:43,12:54:03,8,20.0,Paired,1
12:54:03,12:54:23,8,20.0,Paired,1
12:54:23,12:54:39,8,16.0,Paired,1
12:54:39,12:54:55,8,16.0,Paired,1
12:54:55,12:55:13,8,18.0,Paired,1
12:55:14,12:55:31,8,17.0,Paired,1
12:55:31,12:55:49,8,18.0,Paired,1
12:55:49,12:56:07,8,18.0,Paired,1
12:56:08,12:56:27,8,19.0,Paired,1
12:56:27,12:56:42,8,15.0,Paired,1
12:56:42,12:56:59,8,17.0,Paired,1
12:56:59,12:57:17,8,18.0,Paired,1
12:57:17,12:57:37,8,20.0,Paired,1
12:57:37,12:57:53,8,16.0,Paired,1
12:57:53,12:58:10,8,17.0,Paired,1
12:58:10,12:58:36,8,26.0,Paired,1
12:58:36,12:58:51,8,15.0,Paired,1
12:58:51,12:59:06,8,15.0,Paired,1
12:59:07,12:59:24,8,17.0,Paired,1
