       Channel  Importance
       Channel  Importance
0    Channel 21    0.089715
1    Channel 27    0.067813
2     Channel 1    0.058769
3    Channel 13    0.057569
4    Channel 17    0.056188
5    Channel 19    0.038554
6    Channel 35    0.038249
7    Channel 23    0.032335
8    Channel 11    0.023956
9     Channel 3    0.023324
10   Channel 10    0.022858
11   Channel 40    0.020469
12   Channel 55    0.019837
13   Channel 25    0.017837
14    Channel 7    0.016255
15   Channel 37    0.013507
16  Channel 189    0.011417
17  Channel 135    0.011104
18  Channel 153    0.010988
19   Channel 31    0.010959
20   Channel 39    0.010193
21   Channel 16    0.009788
22   Channel 33    0.009768
23  Channel 156    0.009237
24    Channel 4    0.008944
25  Channel 195    0.008508
26  Channel 106    0.008269
27  Channel 181    0.008025
28  Channel 133    0.007852
29    Channel 5    0.007092
       Channel  Importance
0    Channel 21    0.080398
1    Channel 13    0.063825
2    Channel 27    0.060571
3    Channel 23    0.060089
4    Channel 17    0.053707
5    Channel 19    0.035993
6     Channel 1    0.035849
7     Channel 3    0.028353
8    Channel 35    0.023727
9    Channel 39    0.022712
10   Channel 11    0.021926
11   Channel 25    0.021631
12   Channel 37    0.018483
13   Channel 55    0.016838
14    Channel 7    0.015339
15   Channel 40    0.014854
16   Channel 10    0.014284
17   Channel 38    0.013440
18   Channel 15    0.012907
19   Channel 16    0.012865
20   Channel 31    0.011860
21  Channel 133    0.011515
22  Channel 153    0.011394
23    Channel 5    0.008863
24   Channel 41    0.008533
25  Channel 135    0.008420
26  Channel 124    0.008259
27    Channel 6    0.008240
28   Channel 33    0.007878
29    Channel 9    0.007863
       Channel  Importance
0    Channel 21    0.101990
1    Channel 13    0.065525
2    Channel 27    0.056504
3    Channel 19    0.052430
4     Channel 1    0.047077
5    Channel 23    0.037283
6    Channel 10    0.030161
7    Channel 35    0.029902
8    Channel 17    0.028315
9    Channel 39    0.023485
10   Channel 11    0.022855
11   Channel 40    0.021180
12  Channel 153    0.020921
13    Channel 3    0.020510
14    Channel 7    0.019340
15   Channel 25    0.018706
16    Channel 5    0.016927
17   Channel 55    0.013877
18   Channel 33    0.012797
19   Channel 15    0.012739
20   Channel 16    0.012159
21   Channel 37    0.010999
22  Channel 177    0.010940
23   Channel 31    0.010641
24   Channel 24    0.010282
25  Channel 133    0.008721
26  Channel 189    0.008555
27  Channel 156    0.008332
28  Channel 113    0.007610
29  Channel 106    0.007055
       Channel  Importance
0    Channel 21    0.080004
1    Channel 27    0.066954
2    Channel 13    0.065283
3     Channel 1    0.048521
4    Channel 17    0.046249
5    Channel 23    0.044548
6    Channel 35    0.042271
7    Channel 19    0.037546
8    Channel 25    0.028832
9    Channel 40    0.028706
10    Channel 3    0.022019
11    Channel 7    0.021020
12   Channel 10    0.020893
13   Channel 39    0.017682
14   Channel 37    0.014183
15  Channel 153    0.014008
16   Channel 11    0.012144
17  Channel 106    0.011719
18   Channel 16    0.011091
19    Channel 5    0.010649
20    Channel 4    0.010615
21    Channel 8    0.009058
22   Channel 15    0.008753
23   Channel 31    0.008402
24   Channel 79    0.008345
25   Channel 33    0.008103
26  Channel 189    0.006882
27   Channel 86    0.006426
28   Channel 55    0.006241
29  Channel 181    0.006226
       Channel  Importance
0    Channel 21    0.103606
1    Channel 27    0.065611
2    Channel 13    0.064682
3     Channel 1    0.059207
4    Channel 17    0.043390
5    Channel 35    0.039659
6    Channel 19    0.038432
7     Channel 3    0.029828
8    Channel 11    0.026657
9    Channel 23    0.024657
10   Channel 15    0.023931
11   Channel 10    0.023804
12   Channel 39    0.022518
13   Channel 25    0.020452
14   Channel 40    0.017754
15   Channel 24    0.016492
16   Channel 37    0.015524
17   Channel 31    0.012292
18  Channel 153    0.010689
19   Channel 63    0.010076
20  Channel 159    0.009898
21    Channel 5    0.009076
22   Channel 29    0.009060
23   Channel 16    0.008457
24  Channel 133    0.008311
25   Channel 73    0.007575
26   Channel 33    0.007478
27   Channel 32    0.007319
28  Channel 106    0.006992
29   Channel 57    0.006788
       Channel  Importance
0    Channel 21    0.098242
1    Channel 13    0.070782
2    Channel 27    0.061356
3     Channel 1    0.053233
4    Channel 17    0.043330
5    Channel 35    0.042546
6    Channel 19    0.038926
7    Channel 23    0.036337
8    Channel 11    0.035694
9     Channel 3    0.025280
10   Channel 40    0.024841
11   Channel 10    0.022897
12   Channel 39    0.019083
13   Channel 25    0.017752
14    Channel 7    0.017571
15  Channel 160    0.014237
16   Channel 31    0.014124
17    Channel 5    0.013179
18  Channel 153    0.011106
19   Channel 37    0.010414
20  Channel 121    0.010322
21    Channel 6    0.010102
22   Channel 33    0.009565
23  Channel 106    0.009510
24   Channel 29    0.009443
25  Channel 149    0.008484
26  Channel 135    0.008412
27   Channel 24    0.008124
28   Channel 32    0.007664
29   Channel 41    0.007453
       Channel  Importance
0    Channel 21    0.094932
1    Channel 13    0.074214
2    Channel 17    0.070061
3    Channel 27    0.066355
4     Channel 1    0.057620
