StartTime,EndTime,Type,Duration,PairStatus
10:09:33,10:09:34,0,1.0,Paired
10:09:34,10:09:34,0,0.0,Paired
10:10:45,10:11:22,4,37.0,Paired
10:11:22,10:11:46,4,24.0,Paired
10:11:46,10:12:12,4,26.0,Paired
10:12:12,10:12:47,4,35.0,Paired
10:12:47,10:13:25,4,38.0,Paired
10:13:25,10:13:51,4,26.0,Paired
10:13:51,10:14:31,4,40.0,Paired
10:14:31,10:15:06,4,35.0,Paired
10:15:06,10:15:31,4,25.0,Paired
10:15:31,10:15:59,4,28.0,Paired
10:15:59,10:16:45,4,46.0,Paired
10:16:45,10:17:08,4,23.0,Paired
10:17:08,10:17:30,4,22.0,Paired
10:17:30,10:18:04,4,34.0,Paired
10:18:04,10:18:27,4,23.0,Paired
10:18:27,10:18:52,4,25.0,Paired
10:18:52,10:19:15,4,23.0,Paired
10:19:15,10:19:40,4,25.0,Paired
10:19:40,10:20:03,4,23.0,Paired
10:22:17,10:23:03,5,46.0,Paired
10:23:03,10:23:43,5,40.0,Paired
10:23:43,10:24:13,5,30.0,Paired
10:24:13,10:24:51,5,38.0,Paired
10:24:51,10:25:28,5,37.0,Paired
10:25:28,10:25:53,5,25.0,Paired
10:25:53,10:26:21,5,28.0,Paired
10:26:21,10:27:02,5,41.0,Paired
10:27:03,10:27:24,5,21.0,Paired
10:27:24,10:27:52,5,28.0,Paired
10:27:52,10:28:09,5,17.0,Paired
10:28:09,10:28:32,5,23.0,Paired
10:28:32,10:28:51,5,19.0,Paired
10:28:51,10:29:21,5,30.0,Paired
10:29:21,10:29:49,5,28.0,Paired
10:29:49,10:30:15,5,26.0,Paired
10:30:15,10:30:39,5,24.0,Paired
10:30:39,10:31:07,5,28.0,Paired
10:31:07,10:31:30,5,23.0,Paired
10:33:00,10:33:32,6,32.0,Paired
10:33:32,10:34:09,6,37.0,Paired
10:34:09,10:34:32,6,23.0,Paired
10:34:32,10:35:05,6,33.0,Paired
10:35:05,10:35:31,6,26.0,Paired
10:35:31,10:36:02,6,31.0,Paired
10:36:02,10:36:39,6,37.0,Paired
10:36:39,10:37:08,6,29.0,Paired
10:37:08,10:37:38,6,30.0,Paired
10:37:38,10:38:12,6,34.0,Paired
10:38:12,10:38:37,6,25.0,Paired
10:38:37,10:39:01,6,24.0,Paired
10:39:01,10:39:22,6,21.0,Paired
10:39:22,10:39:51,6,29.0,Paired
10:39:51,10:40:21,6,30.0,Paired
10:40:21,10:40:41,6,20.0,Paired
10:40:42,10:41:10,6,28.0,Paired
10:41:10,10:41:36,6,26.0,Paired
10:43:10,10:43:42,7,32.0,Paired
10:43:42,10:44:15,7,33.0,Paired
10:44:15,10:44:38,7,23.0,Paired
10:44:38,10:45:08,7,30.0,Paired
10:45:08,10:45:37,7,29.0,Paired
10:45:37,10:46:10,7,33.0,Paired
10:46:10,10:46:37,7,27.0,Paired
10:46:37,10:47:02,7,25.0,Paired
10:47:02,10:47:34,7,32.0,Paired
10:47:34,10:47:57,7,23.0,Paired
10:47:57,10:48:25,7,28.0,Paired
10:48:25,10:48:47,7,22.0,Paired
10:48:47,10:49:10,7,23.0,Paired
10:49:10,10:49:36,7,26.0,Paired
10:49:36,10:50:00,7,24.0,Paired
10:50:00,10:50:32,7,32.0,Paired
10:50:32,10:50:59,7,27.0,Paired
10:50:59,10:51:30,7,31.0,Paired
10:52:50,10:53:20,8,30.0,Paired
10:53:20,10:53:41,8,21.0,Paired
10:53:41,10:54:05,8,24.0,Paired
10:54:05,10:54:27,8,22.0,Paired
10:54:27,10:54:47,8,20.0,Paired
10:54:47,10:55:11,8,24.0,Paired
10:55:11,10:55:38,8,27.0,Paired
10:55:38,10:56:06,8,28.0,Paired
10:56:06,10:56:33,8,27.0,Paired
10:56:33,10:56:57,8,24.0,Paired
10:56:57,10:57:19,8,22.0,Paired
10:57:19,10:57:42,8,23.0,Paired
10:57:42,10:58:07,8,25.0,Paired
10:58:07,10:58:25,8,18.0,Paired
10:58:25,10:58:46,8,21.0,Paired
10:58:46,10:59:11,8,25.0,Paired
10:59:11,10:59:30,8,19.0,Paired
10:59:30,10:59:49,8,19.0,Paired
10:59:49,11:00:11,8,22.0,Paired
11:01:33,,0,,No Pair
11:01:34,,5,,No Pair
