Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
1,text,no,0.428201615,0.631209747,0.404217003,0.575758561,0.133747196,-9082.01296,140789.2301,80436.30011,4305.250265,33.74312587,-0.120903805,0.17802537,0.966132135,0.907943856,0.663633758,0.094783903,-12.40591966,-117.1775899,82.37632135,8.53E-05,0.137037167,39.1307887,29.08333333,2980,1,19.0820933,5,20.4654996,3,37.6840504,1,1,2.314316445
1,text,no,0.540804242,0.374146238,0.535204262,0.373577113,0.136257245,-9274.847394,140557.5583,80306.68777,4262.634532,33.8762,-0.074229555,0.180645624,0.969395983,0.960238506,0.531554755,0.190339763,-11.87804878,-116.3773314,83.33285509,0.000116333,0.1185185,37.03911429,24.375,3540,2,21.5021179,5,24.280221,1,26.7780394,0,1,1.060660172
1,text,no,0.636917093,0.447699608,0.630881603,0.449954615,0.138396644,-9433.461484,140469.726,80234.54935,4263.933766,34.00374678,-0.05788342,0.177477979,0.97115544,0.963114286,0.636948187,0.105792066,-11.50647668,-116.3484456,83.50129534,0.000150409,0.142424273,41.67083118,19.66666667,7413.333333,1,15.7718497,5,16.9031225,3,29.0293191,1,1,1.154700538
1,text,no,0.675135979,0.437056772,0.663381502,0.446520832,0.140562921,-9589.375372,140569.5531,80216.02381,4260.285714,34.1238253,-0.056330896,0.179424132,0.97090128,0.959144424,0.65081768,0.145339695,-11.20109689,-116.1279707,83.21389397,0.0001335,0.138888833,38.48197727,17,22360,2,16.173038,5,17.4145326,1,19.7351253,1,0,0
1,text,no,0.420394745,0.606254917,0.415366468,0.612139964,0.144503782,-9859.713654,140941.301,80477.83877,4218.149228,34.27143626,-0.128388889,0.177779487,0.965351282,0.964302485,0.760730703,0.196768822,-10.99230769,-114.157265,79.93247863,0.000153424,0.165656515,38.30801702,24.07142857,3491.428571,2,38.5418677,4,41.8716871,1,43.6002407,1,0,3.583386574
1,text,no,0.332992434,0.724629212,0.273779619,0.648971509,0.14820891,-10102.80428,140532.9597,80310.22544,4238.779388,34.41967021,-0.10670947,0.198097913,0.96358427,0.998599034,0.598327948,0.067952055,-10.64205457,-113.223114,79.91011236,0.000110579,0.119298263,44.25088,23.25,4630,1,15.4361511,5,16.562714,3,23.6917685,1,1,0.957427108
1,text,no,0.57701847,0.450394913,0.568502215,0.449228385,0.150841002,-10267.42991,140439.4057,80258.29389,4219.469441,34.52808621,-0.102512953,0.204299223,0.962506477,0.968595855,0.655548638,0.111015406,-10.72927461,-113.1178756,79.9365285,0.000156105,0.122807105,42.6908883,21,37360,1,21.0714281,5,22.4452132,3,28.596705,0,0,0
1,text,no,0.49528365,0.435461097,0.484197694,0.428622647,0.15485086,-10507.05988,140863.8489,80584.00403,4218.15005,34.64406977,-0.17700804,0.1484,0.965840201,0.866734139,0.763751773,-0.026171039,-13.64422111,-113.1497487,78.98693467,0.000183432,0.126126216,45.0013175,17.42857143,6268.571429,1,35.5973795,3,37.5169636,2,39.3644594,0,1,1.133893419
1,text,no,0.456299852,0.554667793,0.432961612,0.516848167,0.159937702,-10794.40342,141033.087,80689.9088,4240.178155,34.75240702,-0.199195354,0.154053854,0.96137698,0.989973517,0.629270501,0.115243743,-13.65258712,-113.6166843,78.42766631,0.000239645,0.178494613,50.28301053,25.61538462,2064.615385,2,30.6764793,5,33.654844,1,36.5221196,1,0,4.44481836
1,text,no,0.571831232,0.493033899,0.563580407,0.500077132,0.165408927,-11083.70463,140800.9224,80745.18566,4180.40668,34.84986039,-0.176270588,0.083244118,0.944109804,0.953264966,0.663682493,0.228090722,-15.67156863,-113.4333333,79.16960784,0.000287481,0.165432148,46.073,26.25,11210,2,38.182335,5,39.4417274,1,40.6882364,1,0,2.872281323
