Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
4,image,yes,0.652071005,0.559399221,0.626723418,0.622738333,0.105118159,-6232.598853,145777.3607,121979.2755,8486.326625,35.05522051,0.641591049,0.364725309,0.622324074,1.021669243,0.583435459,0.076785256,-18.9691358,-89.875,99.84259259,9.16E-05,0.195555556,113.669659,37.53846154,1935.384615,2,19.8413356,5,21.0368249,1,25.1374578,0,1,3.230463966
4,image,yes,0.37527643,0.363810988,0.377308473,0.407828767,0.107627751,-6543.435083,145906.2335,122069.9321,8406.314225,35.06895804,0.636300211,0.363871036,0.628236786,1.025,0.644750529,0.082346667,-18.98942918,-90.07610994,99.82875264,7.12E-05,0.163636424,111.5718281,44.76923077,1476.923077,1,14.6632533,5,16.4065664,2,17.8818943,1,1,2.891189091
4,image,yes,0.633176776,0.578831181,0.634927096,0.634552989,0.110005055,-6824.200304,145988.1156,122213.2119,8390.369527,35.10035838,0.635944056,0.363618881,0.628632867,1.029839161,0.613368421,0.089903108,-19.10664336,-90.07517483,99.75874126,7.00E-05,0.158558568,105.2399768,40,1554.666667,1,12.5754842,5,15.0116966,2,21.7401623,1,1,3.139608711
4,image,yes,0.495458853,0.458250066,0.495969211,0.514788122,0.112569233,-7113.888896,146135.3943,122358.6913,8446.634228,35.12990556,0.636165829,0.363639866,0.628051926,1.02879062,0.616201342,0.083833625,-19.19430486,-89.96314908,99.72026801,6.39E-05,0.150427333,99.60733056,46.25,1412.5,1,15.9307005,5,17.0824079,3,22.9866375,1,1,1.732050808
4,image,yes,0.661317765,0.480273788,0.671824707,0.542346145,0.115107379,-7388.022685,146247.8389,122449.5447,8437.481611,35.18091908,0.636314136,0.364668412,0.627483421,1.023441536,0.634068182,0.080546618,-19.2425829,-90.05061082,99.71029668,6.96E-05,0.157265026,100.2718443,42.53333333,1541.333333,2,17.2421626,3,20.6582792,1,22.598289,0,0,1.597617273
4,image,yes,0.372537675,0.440544142,0.377789036,0.485903511,0.117346786,-7620.177709,146361.2272,122559.7643,8412.552017,35.21197887,0.636006342,0.364458774,0.627410148,1.022565678,0.623685775,0.087482143,-19.1564482,-90.09090909,99.7167019,8.46E-05,0.1805555,94.46826491,38.41666667,1636.666667,1,14.3198134,5,16.6381248,3,18.4027137,1,0,1.083624669
4,image,yes,0.568004012,0.517470203,0.573286685,0.576822356,0.119376687,-7822.876887,146619.6795,122712.7486,8425.93858,35.24011321,0.635489484,0.353057361,0.63510325,0.915495202,0.634821497,0.074884086,-19.2332696,-90.12237094,100.585086,7.87E-05,0.1615385,84.76549524,35,2151.111111,1,14.8145291,1,15.8221441,3,20.3475215,1,0,1.224744871
4,image,yes,0.464930159,0.449662606,0.466807795,0.492789126,0.121419794,-8020.099679,147249.8042,123110.1363,8535.629559,35.26315287,0.637869981,0.340034417,0.641500956,1.016231358,0.638494231,0.078023669,-19.21223709,-89.77055449,101.2810707,9.28E-05,0.170370333,74.0956619,27.66666667,3220,1,13.3946545,4,16.8950971,3,19.5344511,1,1,1.966384161
4,image,yes,0.385460966,0.580079783,0.38210335,0.630358537,0.123389278,-8204.035501,147423.2468,123277.6856,8378.131627,35.2953253,0.642658135,0.341703839,0.635870201,1.030462523,0.604970425,0.082855238,-19.33272395,-89.5630713,101.2084095,8.27E-05,0.161904786,57.63272727,32.38461538,1876.923077,1,15.6206077,3,17.0515254,3,20.4295442,0,0,4.03192389
4,image,yes,0.570035092,0.372627943,0.574278262,0.42533889,0.133508942,-9047.011169,147272.2496,123168.1098,8235.703797,35.45492367,0.655808283,0.351582649,0.614911103,1.02417875,0.614544521,0.080153488,-19.27293824,-88.76240628,100.9501964,6.38E-05,0.126126169,40.55759497,37.765625,1748.125,,,,,,,,,2.873951366
5,text,no,0.736586698,0.329510464,0.739953191,0.391351621,0.145599717,-9933.006809,147641.4826,123448.5119,8094.955128,35.83322424,0.644212785,0.38747032,0.602853881,1.042917808,0.666246994,0.056351939,-21.43926941,-89.40913242,99.49223744,7.80E-05,0.133333481,39.33575606,42.70833333,1796.666667,1,16.056785,3,22.364163,2,40.8048327,1,1,3.042870022
5,text,no,0.549394928,0.450817885,0.552463898,0.516160903,0.150068585,-10219.38831,147657.1043,123565.1457,8154.697314,36.02591497,0.639590113,0.398498455,0.599131823,1.04403096,0.594761954,0.078087794,-21.38619979,-89.53038105,99.16065911,0.0001208,0.1466666,34.41322542,38.5,1787.272727,2,16.3031694,4,17.9461327,1,36.652245,0,1,3.1585108
5,text,no,0.674524275,0.253267339,0.674540748,0.313063843,0.154033092,-10459.44993,146924.4063,123255.6925,8090.607863,36.17258,0.603168675,0.392604418,0.639751004,0.997394578,0.701881937,0.082055381,-21.43473896,-91.10240964,100.4879518,7.69E-05,0.108046069,38.058245,45.20689655,1340.689655,1,14.1104724,5,15.6899054,3,39.9022413,1,1,5.589398833
5,text,no,0.461357697,0.469717484,0.462874509,0.529018187,0.157306845,-10648.67711,146666.0628,123380.3981,8031.716825,36.23270196,0.612485816,0.393085106,0.629859338,1.064246738,0.517586698,0.084426634,-21.1572104,-90.68321513,100.1583924,0.000100462,0.117948692,31.62129706,48,1443.333333,2,14.462533,3,18.5059703,1,32.7046015,1,0,3.400767177
5,text,no,0.661917173,0.33814694,0.664346706,0.404667153,0.160163792,-10807.38075,146878.3773,123519.3333,8068.619048,36.25032258,0.612648418,0.401377129,0.623969586,1.03232561,0.703221542,0.120599222,-20.67639903,-90.96350365,100.1082725,0.000107556,0.111111222,25.24135253,49.09090909,1474.545455,2,14.8189071,3,16.206228,1,31.1980346,1,0,2.307525802
5,text,no,0.537871489,0.389261159,0.544096576,0.45603861,0.162449153,-10930.35284,146793.5164,123760.7045,8043.459701,36.27661576,0.609595238,0.401446429,0.626449405,1.019901493,0.627412817,0.091287736,-20.72916667,-91.21130952,100.2172619,5.86E-05,0.112820462,21.15210741,59.16,1075.2,1,13.8666721,5,15.54475,3,26.921853,1,1,2.981610303
5,text,no,0.509891324,0.423893614,0.514764239,0.486255757,0.164341755,-11029.53124,146493.4173,123710.4705,8064.053237,36.27235238,0.598413199,0.400553802,0.638436155,1.003965567,0.631370317,0.064224398,-21.02725968,-91.62266858,100.276901,7.00E-05,0.100000125,24.15586353,56.875,1165,1,14.3363287,4,15.8627128,3,26.1622428,0,0,2.592841315
5,text,no,0.626479226,0.366242397,0.632028169,0.426666653,0.166225594,-11126.02398,146403.3065,123541.1597,8070.568345,36.28896209,0.598025825,0.399770445,0.639758967,1.024150862,0.617261494,0.092241071,-21.10186514,-91.64131994,100.3285509,9.89E-05,0.123809429,19.12166905,60.57692308,1067.692308,1,15.3674953,2,16.0097185,3,27.8721276,0,1,1.770267255
5,text,no,0.448972231,0.424923876,0.456454614,0.475772219,0.167903839,-11210.1701,146444.8188,123425.0772,8004.70302,36.29528333,0.609561139,0.369552764,0.648040201,0.919375209,0.581099662,0.124585069,-21.45058626,-90.68509213,102.040201,7.99E-05,0.091666875,18.39674444,59.33333333,1091.428571,2,14.6121123,4,16.0007512,1,23.0129537,1,0,2.496664441
5,text,no,0.352357936,0.512014454,0.359349763,0.557118605,0.169321833,-11279.96973,146423.0017,123299.237,7959.408403,36.2819116,0.611555184,0.36720903,0.647628763,1.025882943,0.621926298,0.081390925,-21.37792642,-90.57023411,102.0100334,4.23E-05,0.088889,16.83414722,60.73913043,1066.086957,2,13.8037298,3,15.4687406,3,22.9169836,1,0,2.95753877
5,text,no,0.64042412,0.390574997,0.64900359,0.451777652,0.170685149,-11345.9528,146350.6393,123177.2689,7903.384863,36.29762567,0.613996785,0.372313505,0.642125402,1.016871383,0.599529032,0.081782095,-21.52090032,-90.31993569,101.9983923,6.95E-05,0.1833335,12.113628,66.70833333,1001.666667,1,14.5553655,5,15.7533948,3,24.0402287,1,1,2.851074041
